query,milliseconds
q1,6768
q2,6643
q3,4693
q4,87358
q5,20392
q6,18016
q7,15248
q8,8381
q9,13865
q10,11644
q11,43276
q12,3098
q13,10898
q14,104861
q15,10241
q16,23519
q17,53056
q18,14112
q19,11363
q20,3980
q21,4953
q22,28259
q23,177920
q24,80238
q25,59221
q26,6603
q27,9457
q28,21417
q29,55117
q30,5513
q31,17437
q32,5969
q33,10123
q34,6403
q35,11865
q36,8162
q37,8093
q38,20182
q39,26621
q40,16628
q41,1116
q42,4462
q43,5333
q44,2397
q45,7776
q46,9327
q47,14504
q48,9949
q49,19357
q50,23087
q51,27018
q52,5400
q53,5664
q54,18789
q55,5818
q56,9438
q57,8896
q58,11437
q59,13211
q60,9665
q61,12359
q62,4164
q63,6557
q64,91967
q65,19961
q66,9405
q67,77702
q68,9289
q69,11054
q70,10548
q71,8868
q72,214770
q73,5131
q74,38890
q75,41905
q76,8472
q77,9390
q78,79305
q79,8592
q80,80612
q81,8884
q82,13164
q83,3657
q84,3619
q85,10564
q86,3926
q87,16816
q88,20281
q89,6213
q90,2967
q91,5920
q92,5071
q93,42568
q94,14627
q95,35149
q96,14252
q97,19342
q98,6713
q99,9598
